ಅವಳು	PRP.n.f.sg.3.d	ಅವಳು.0
.	SYM.punc....	..


ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಪ್ರೀತಿಗೆ	NN.n.n.sg..o	ಪ್ರೀತಿ.ಇಗೆ
ಅಡ್ಡವಾಗುವ	UNK	ಅಡ್ಡವಾಗುವ.
ಜನರು,	UNK	ಜನರು,.
ಊರನ್ನೇ	NN.unk....	ಊರನ್ನೇ.
ಬಿಟ್ಟು	VM.v.any.any.any.	ಬಿಡು.ದು
ಹೊರಡಲುರೆಡಿಯಾಗುತ್ತಾರೆ.	UNK	ಹೊರಡಲುರೆಡಿಯಾಗುತ್ತಾರೆ..
.	SYM.punc....	..


ಮುಂದೆ	NST.avy....	ಮುಂದೆ.
ಏನಾಗುತ್ತೆ	WQ.unk....	ಏನಾಗುತ್ತೆ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಕುತೂಹಲವಿದ್ದರೆ	VM.unk....	ಕುತೂಹಲವಿದ್ದರೆ.
ಮಲ್ಲಿಗೆ	NNP.n.n.sg..d	ಮಲ್ಲಿಗೆ.0
ಪರಿಮಳ	NN.n.n.sg..d	ಪರಿಮಳ.0
ಸವಿಯಬಹುದು..	UNK	ಸವಿಯಬಹುದು...
.	SYM.punc....	..


ರಿಂಕು	NN.unk....	ರಿಂಕು.
ರಾಜಗುರು	NN.unk....	ರಾಜಗುರು.
ಪಾತ್ರವನ್ನು	NN.n.n.sg..o	ಪಾತ್ರ.ಅನ್ನು
ಜೀವಿಸಿದ್ದಾರೆ.	UNK	ಜೀವಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ದಪ್ಪವಾಗಿದ್ದಾರೆ	UNK	ದಪ್ಪವಾಗಿದ್ದಾರೆ.
ಅನ್ನೋದು	VM.unk....	ಅನ್ನೋದು.
ಬಿಟ್ಟರೆ,	UNK	ಬಿಟ್ಟರೆ,.
ಖಡಕ್‌	UNK	ಖಡಕ್‌.
ಹುಡುಗಿಯಾಗಿ	RB.n.f.sg.3.o	ಹುಡುಗಿ.ಆಗಿ
ಇಷ್ಟವಾಗುತ್ತಾರೆ,	UNK	ಇಷ್ಟವಾಗುತ್ತಾರೆ,.
ಪ್ರೀತಿಯ	NN.n.n.sg..o	ಪ್ರೀತಿ.ಅ
ತೆಕ್ಕೆಗೆ	NN.n.n.sg..o	ತೆಕ್ಕೆ.ಇಗೆ
ಬಿದ್ದು	VM.v.any.any.any.	ಬೀಳು.ದು
ಒದ್ದಾಡುವ	VM.v.any.any.any.	ಒದ್ದಾಡು.ವ
ಹುಡುಗಿಯಾಗಿ	RB.n.f.sg.3.o	ಹುಡುಗಿ.ಆಗಿ
ಭಾವುಕತೆ	NN.n.n.sg..d	ಭಾವುಕತೆ.0
ಹೆಚ್ಚಿಸುತ್ತಾರೆ.	UNK	ಹೆಚ್ಚಿಸುತ್ತಾರೆ..
.	SYM.punc....	..


ರಿಂಕು	NN.unk....	ರಿಂಕು.
ಪಾತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಪಾತ್ರ.ಇಗೆ
ಡಬ್ಬಿಂಗ್‌	UNK	ಡಬ್ಬಿಂಗ್‌.
ಮಾಡಿರುವುದನ್ನು	VM.v.any.any.any.	ಮಾಡು.ಇರುವುದನ್ನು
ಸ್ವಾಗತಿಸಬೇಕು.	UNK	ಸ್ವಾಗತಿಸಬೇಕು..
.	SYM.punc....	..


ಆದರೆ,	UNK	ಆದರೆ,.
ಅದಕ್ಕಿನ್ನೂ	PRP.unk....	ಅದಕ್ಕಿನ್ನೂ.
ಧಮ್‌	UNK	ಧಮ್‌.
ಕಟ್ಟಿದ್ದರೆ	VM.v.any.any.any.	ಕಟ್ಟು.ಇದ್ದರೆ
ಸೊಗಸಾಗಿರುತ್ತಿತ್ತು.	UNK	ಸೊಗಸಾಗಿರುತ್ತಿತ್ತು..
.	SYM.punc....	..


ನಿಶಾಂತ್‌ಗೆಮೊದಲ	UNK	ನಿಶಾಂತ್‌ಗೆಮೊದಲ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಅಂತೆನಿಸುವುದಿಲ್ಲ.	UNK	ಅಂತೆನಿಸುವುದಿಲ್ಲ..
.	SYM.punc....	..


ಸಿಕ್ಕ	VM.v.any.any.any.	ಸಿಗು.ಅ
ಪಾತ್ರವನ್ನು	NN.n.n.sg..o	ಪಾತ್ರ.ಅನ್ನು
ಅಚ್ಚುಕಟ್ಟಾಗಿ	RB.n.n.sg..o	ಅಚ್ಚುಕಟ್ಟು.ಆಗಿ
ನಿರ್ವಹಿಸಿದ್ದಾರೆ.	UNK	ನಿರ್ವಹಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ಅರವಿಂದ್‌	UNK	ಅರವಿಂದ್‌.
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
ಇತರೆ	NN.unk....	ಇತರೆ.
ಕಲಾವಿದರು	VM.n.m.pl.3.d	ಕಲಾವಿದ.0
ಇರುವಷ್ಟು	VM.v.any.any.any.	ಇರು.ವಷ್ಟು
ಕಾಲ	NN.n.n.sg..d	ಕಾಲ.0
ಗಮನಸೆಳೆಯುತ್ತಾರೆ.	UNK	ಗಮನಸೆಳೆಯುತ್ತಾರೆ..
.	SYM.punc....	..


ಅಜಯ್‌	UNK	ಅಜಯ್‌.
ಅತುಲ್‌	UNK	ಅತುಲ್‌.
ಸಂಗೀತದಲ್ಲಿ	NN.n.n.sg..o	ಸಂಗೀತ.ಅಲ್ಲಿ
ಮೂರು	QC.n.n.sg..d	ಮೂರು.0
ಹಾಡುಗಳು	NN.n.n.pl..d	ಹಾಡು.0
ಗುನುಗುವಂತಿವೆ.	UNK	ಗುನುಗುವಂತಿವೆ..
.	SYM.punc....	..


ಮನೋಹರ್‌	UNK	ಮನೋಹರ್‌.
ಜೋಶಿಗೆ	NN.unk....	ಜೋಶಿಗೆ.
"ಡ್ರೋಣಾ'ಚಾರ್ಯ	UNK	"ಡ್ರೋಣಾ'ಚಾರ್ಯ.
ಅಂತ	UT.avy....	ಅಂತ.
ಕರೆಯಲ್ಲಡ್ಡಿಯಿಲ್ಲ!	UNK	ಕರೆಯಲ್ಲಡ್ಡಿಯಿಲ್ಲ!.
ಯಾಕೆಂದರೆ,	UNK	ಯಾಕೆಂದರೆ,.
ಬಹುಪಾಲಿನ	UNK	ಬಹುಪಾಲಿನ.
ದೃಶ್ಯಗಳನ್ನು	NN.n.n.pl..o	ದೃಶ್ಯ.ಅನ್ನು
ಏರ್‌ಶಾಟ್ಸ್‌ಗೆ	UNK	ಏರ್‌ಶಾಟ್ಸ್‌ಗೆ.
ಸೀಮಿತಗೊಳಿಸಿದ್ದಾರೆ.	UNK	ಸೀಮಿತಗೊಳಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ಆದರೂ,	UNK	ಆದರೂ,.
ಮನಸು	NN.unk....	ಮನಸು.
ಮಲ್ಲಿಗೆಯ	NNP.n.n.sg..o	ಮಲ್ಲಿಗೆ.ಅ
ಅಂದಕ್ಕೆ	NN.n.n.sg..o	ಅಂದ.ಇಗೆ
ಕಾರಣವೂ	NN.n.n.sg..d	ಕಾರಣ.0
ಆಗುತ್ತಾರೆ..	UNK	ಆಗುತ್ತಾರೆ...
.	SYM.punc....	..


-	SYM.punc....	-.
ವಿಜಯ್‌	UNK	ವಿಜಯ್‌.
ಭರಮಸಾಗರ.	UNK	ಭರಮಸಾಗರ..
.	SYM.punc....	..


.	SYM.punc....	..


